name,discount
GTS 10 J,-50%
PRO PRUNER,-50%
GSR 12V-15FC FlexiClick 5-in-1,-50%
GSR 12V-30,-50%
GSB 12V-30,-50%
GDR 12V-110,-50%
GLI 12V-80,-50%
GLI 120,-50%
GLI 12V-330,-50%
GAS 12 V-Li,-50%
GST 12 V-Li,-50%
GKS 12 V-Li,-50%
GRO 12V-35,-50%
GOP 12V-28,-50%
GKF 12V-8,-50%
GEX 12V-125,-50%
GHO 12V-20,-50%
GWS 12V-76,-50%
GBA 12V 2.0Ah,-50%
GBA 12V 4.0Ah,-50%
GBA 12V 6.0Ah,-50%
GAL 12V-40,-50%
GSR 185-LI,-50%
GSB 185-LI,-50%
GDX 18V-200,-50%
GTB 185-LI,-50%
GWX 180-LI,-50%
GWS 18V-10 P,-50%
GKM 18V-50,-50%
GOP 185-LI,-50%
GEX 185-LI,-50%
GEX 18V-125,-50%
GST 185-LI,-50%
GSA 185-LI,-50%
GRG 18V-16 C,-50%
GBL 18 V-120,-50%
GAS 18V-10L (premium set),-50%
GBH 18V-36 C,-50%
GBH 18V-45 C,-50%
GWS 18V-15 SC,-50%
GKS 18V-68 GC,-50%
GKT 18V-52 GC,-50%
GTS 18V-216,-50%
GCM 18V-216 D,-50%
GCM 18V-254 D,-50%
GCM 18V-305 GDC,-50%
GBA 18V 2.0Ah M-B,-50%
GBA 18V 4.0Ah M-C,-50%
ProCORE18V 4.0Ah,-50%
ProCORE18V 8.0Ah,-50%
ProCORE18V 12.0Ah,-50%
GAL 1880 CV,-50%
GAL 18V-160 C ultra fast charger,-50%
GAL 18V6-80 6-bay charger,-50%
GBM 6 RE,-50%
GBM 10 RE,-50%
GBM 13 RE,-50%
GBM 1600 RE,-50%
GSB 13 RE Wrap,-50%
GSB 13 RE Hand Tools,-50%
GSB 16 RE Carton,-50%
GSB 16 RE Wrap,-50%
GSB 20-2 RE,-50%
GBH 2-24 DRE,-50%
GBH 2-28 DFV,-50%
GBH 3-28 DRE,-50%
GBH 4-32 DFR,-50%
GBH 5-40 D,-50%
GBH 8-45 D,-50%
GBH 8-45 DV,-50%
GSH 3 E,-50%
GSH 5,-50%
GSH 11 E,-50%
GSH 14 C,-50%
GSH 16-30,-50%
GSH 27 VC,-50%
GWS 750-100,-50%
GWS 7-100 T,-50%
GWS 2200-180,-50%
GWS 2200-230,-50%
GGS 3000L,-50%
GGS 30 LS,-50%
GPO 950,-50%
GPO 12 CE,-50%
GTB 650,-50%
GMA 55,-50%
GSA 120,-50%
GAC 250,-50%
GST 90 BE,-50%
GKS 190,-50%
GKS 235 TURBO,-50%
GEX 125-1 AE,-50%
GHO 10-82,-50%
GBL 82-270,-50%
GAS 15,-50%
GCO 14-24 J,-50%
GCD 12 JL,-50%
GBG 35-15,-50%
GBG 60-20,-50%
GCM 254 D - sliding,-50%
GCM 12 GDL - glide ,-50%
